,prop,mean,std,std1p2,sigma_to_zero,trunc_bool
0,main_deflector*parameters*z_lens,0.4877719913959017,0.25251203750130463,0.30301444500156555,-1.9316781735341293,True
1,lens_light*parameters*z_source,0.4877719913959017,0.25251203750130463,0.30301444500156555,-1.9316781735341293,True
2,main_deflector*parameters*theta_E,1.415142080833239,0.36718459521848074,0.4406215142621769,-3.8540344536818236,True
3,main_deflector*parameters*center_x,0.0,0.0,0.0,0.0,False
4,main_deflector*parameters*center_y,0.0,0.0,0.0,0.0,False
5,main_deflector*parameters*gamma,2.0,0.0,0.0,-inf,True
6,main_deflector*parameters*e1,-0.0011095250167202698,0.14231227422530462,0.17077472907036553,0.007796411256584252,False
7,main_deflector*parameters*e2,-0.0004898485988789993,0.14242436395488442,0.1709092367458613,0.003439359567961055,False
8,main_deflector*parameters*gamma1,0.0,0.0,0.0,0.0,False
9,main_deflector*parameters*gamma2,0.0,0.0,0.0,0.0,False
10,lens_light*parameters*mag_app,18.29812747650855,1.7693591923624732,2.1232310308349676,-10.341669207413242,False
11,lens_light*parameters*R_sersic,0.9325585871164951,0.5020960002992368,0.6025152003590842,-1.8573312405609945,True
12,lens_light*parameters*n_sersic,4.0,0.0,0.0,-inf,True
13,lens_light*parameters*e1,-0.0011095250167202698,0.14231227422530462,0.17077472907036553,0.007796411256584252,False
14,lens_light*parameters*e2,-0.0004898485988789993,0.14242436395488442,0.1709092367458613,0.003439359567961055,False
15,lens_light*parameters*center_x,0.0,0.0,0.0,0.0,False
16,lens_light*parameters*center_y,0.0,0.0,0.0,0.0,False
17,source*parameters*z_source,2.130605796445149,0.8649714102307722,1.0379656922769265,-2.463209501776144,True
18,source*parameters*mag_app,25.59522698969772,1.107397037044479,1.3288764444533747,-23.112963222304234,False
19,source*parameters*R_sersic,0.27544662062719355,0.19772739814245052,0.2372728777709406,-1.3930624850924862,True
20,source*parameters*n_sersic,1.0,0.0,0.0,-inf,True
21,source*parameters*center_x,-0.008100305671912148,0.38510888821574385,0.4621306658588926,0.021033806073502602,False
22,source*parameters*center_y,0.0022404619042228,0.5160831813028319,0.6192998175633982,-0.004341280602415372,False
23,source*parameters*e1,0.0006717732515758836,0.19183036395370354,0.23019643674444423,-0.003501913032589615,False
24,source*parameters*e2,-0.002274680901794114,0.19050410473691434,0.2286049256842972,0.0119403248813743,False
